Tip,chinese_name,episode,movie_name,ranking,score,score_num
26话/2002年8月16日/河本昇悟/伊藤郁子,萩萩公主,26,プリンセスチュチュ,236,8.1,315
8话/2000年1月21日,勇者王GaoGaiGar Final,8,勇者王ガオガイガーFINAL,235,8.2,193
12话/2015年7月6日/川面真也/あっと（月刊コミックアライブ連載/KADOKAWA刊）/大塚舞,悠哉日常大王 Repeat,12,のんのんびより りぴーと,234,8.0,2927
10话/2018年1月5日/湯浅政明/永井豪「デビルマン」,恶魔人 crybaby,10,DEVILMAN crybaby,233,8.0,3675
11话/2013年7月11日/伊藤智彦/荒川弘/中井準,银之匙 Silver Spoon,11,銀の匙 Silver Spoon,232,8.0,3484
21话/2007年9月21日/MichaelDanteDiMartin、BryanKonietzko,降世神通：最后的气宗 第三季,21,Avatar:The Last Airbender Season 3,231,8.1,350
25话/2013年10月3日/今石洋之,斩服少女,25,キルラキル,230,8.0,6084
1话/2003年6月11日/SylvainChomet,疯狂约会美丽都,1,Les triplettes de Belleville,229,8.1,367
43话/1979年4月7日/富野由悠季/矢立肇、富野由悠季/安彦良和,机动战士高达,43,機動戦士ガンダム,228,8.0,1539
13话/2011年1月10日/加藤敏幸/冨樫義博（「レベルE」集英社ジャンプコミックス）,灵异E接触,13,レベルE,268,7.9,2866
25话/2013年4月6日,进击的巨人,25,進撃の巨人,267,7.9,10321
14话/2009年4月2日/山田尚子/かきふらい（芳文社「まんがタイムきらら」連載）/堀口悠紀子,轻音少女,14,けいおん！,266,7.9,9061
13话/2013年7月7日/吉原正行/森見登美彦/川面恒介,有顶天家族,13,有頂天家族,265,7.9,3537
1话/1998年8月8日/佐藤竜雄/後藤圭二,机动战舰 -The prince of darkness-,1,機動戦艦ナデシコ -The prince of darkness-,264,8.0,672
12话/2012年1月7日,日常 ETV版,12,日常 Eテレ版,263,7.9,851
2话/2013年11月27日/新房昭之/蒼樹うめ/伊藤良明,向阳素描 沙英・寻 毕业篇,2,ひだまりスケッチ 沙英・ヒロ 卒業編,262,8.0,366
50话/2009年4月5日/関田修/あだち充/近藤優次,四叶游戏,50,クロスゲーム,261,8.0,744
49话/1992年2月18日/ねぎしひろし/TOlllO（湖川友謙）、佐野浩敏,宇宙骑士BLADE,49,宇宙の騎士テッカマンブレード,259,8.0,479
13话/2015年1月8日/羽原信義/XEBEC,苍穹之法芙娜 EXODUS,13,蒼穹のファフナー EXODUS,258,8.0,833
36话/1982年10月3日/石黒昇/スタジオぬえ,超时空要塞,36,超時空要塞マクロス,257,8.0,818
14话/2011年04月27日,南方公园 第15季,14,South Park Season 15,256,8.1,279
13话/2008年4月3日/水島努/CLAMP/黄瀬和哉,×××HOLiC◆继,13,×××HOLiC◆継,255,7.9,1809
39话/1990年4月13日/樋口真嗣（第23-39話）,蓝宝石之谜,39,ふしぎの海のナディア,254,8.0,953
14话/2012年3月14日,南方公园 第16季,14,South Park Season 16,253,8.1,276
26话/1996年4月5日/渡部高志/神坂一/宮田奈保美,秀逗魔导士NEXT,26,スレイヤーズNEXT,252,8.0,857
13话/2011年3月1日/富岡聡、宮崎あぐり/宮崎あぐり,监狱兔 第四季,13,Usavich Season 4,292,7.9,1269
12话/2018年10月4日/広報広聴課ゾンビ係,佐贺偶像是传奇,12,ゾンビランドサガ,291,7.9,4550
1话/2019年1月12日,1,、,Fate/stay night [Heaven's Feel] II.lost butterfly,290,7.9,2769
224话/2000年4月18日/杉島邦久/高橋和希,游戏王－怪兽之决斗,224话,遊☆戯☆王デュエルモンスターズ,289,7.9,1453
12话/2008年3月17日/大地丙太郎/増田こうすけ（集英社『ジャンプスクエア』連載）,搞笑漫画日和3,12,ギャグマンガ日和3,288,7.9,2087
1话/2000年8月25日,吸血鬼猎人D：妖杀行,1,Vampire Hunter D: Bloodlust,287,7.9,960
26话/1999年10月13日/片山一良/矢立肇、片山一良/さとうけいいち,THE BIG-O,26,THE ビッグオー,286,8.0,466
27话/2010年4月6日/山田尚子/かきふらい（芳文社「まんがタイムきらら」連載）/堀口悠紀子,轻音少女 第二季,27,けいおん！！,285,7.9,6986
1话/2017年11月22日/LeeUnkrich,寻梦环游记,1,Coco,284,7.9,1615
12话/2006年8月5日/大地丙太郎/増田こうすけ（集英社『月刊少年ジャンプ』連載）,搞笑漫画日和2,12,ギャグマンガ日和2,283,7.9,2052
1话/2009年4月9日/AdamElliot,玛丽和马克思,1,Mary and Max,282,8.0,359
1话/1995年7月15日/近藤喜文,侧耳倾听,1,耳をすませば,281,7.9,1961
4话/1994年8月25日/渡辺信一郎/スタジオぬえ、河森正治/摩砂雪,超时空要塞Plus,4,マクロスプラス,280,7.9,680
47话/1989年10月11日/吉永尚之/ヘッドギア,机动警察,47,機動警察パトレイバー,279,8.0,551
13话/2011年10月3日/神戸守/堀田きいち（掲載月刊「Gファンタジー」スクウェア・エニックス刊）/音地正行,少年同盟,13,君と僕。,278,7.9,2426
1话/2008年9月6日/今石洋之/GAINAX・中島かずき/錦織敦史,天元突破红莲螺岩 红莲篇,1,劇場版 天元突破グレンラガン 紅蓮篇,277,7.9,1556
5话/2006年11月29日/今野緒雪/松島晃,圣母在上 第3季,5,マリア様がみてる 3rdシーズン,316,7.9,454
12话/2012年7月1日/岸誠二/田中ロミオ,人类衰退之后,12,人類は衰退しました,315,7.9,4299
12话/2015年4月10日,希德尼娅的骑士 第九惑星战役,12,シドニアの騎士 第九惑星戦役,314,7.9,2387
26话/2001年4月3日,热带雨林的爆笑生活,26,ジャングルはいつもハレのちグゥ,313,7.9,1803
51话/2001年4月1日/中鶴勝祥,数码兽驯兽师,51,デジモンテイマーズ,312,7.9,1261
1话/2017年12月9日/水島努/杉本功,少女与战车 最终章 第1话,1,ガールズ&パンツァー 最終章 第1話,311,7.9,1392
1话/2007年2月17日/羽山淳一/荒木飛呂彦/羽山淳一,JOJO的奇妙冒险 幻影血脉,1,ジョジョの奇妙な冒険 ファントムブラッド,310,7.9,558
1话/2012年7月14日/草川啓造/都築真紀/奥田泰弘,魔法少女奈叶 The MOVIE 2nd A’s,1,魔法少女リリカルなのは The MOVIE 2nd A's,309,7.9,1045
2话/2005年8月28日/石原立也/Key/VisualArt's/荒谷朋恵,AIR 夏季篇,2,AIR IN SUMMER,308,7.9,2485
1话/2007年12月29日/野中卓也/奈須きのこ/須藤友徳,剧场版 空之境界 第二章 杀人考察（前）,1,劇場版 空の境界 第二章 殺人考察(前),307,7.9,4994
13话/1998年7月6日/中村隆太郎/岸田隆宏,玲音,13,Serial Experiments Lain,306,7.9,1691
1话/1999年12月17日/JamesAlgar/GaëtanBrizzi,幻想曲2000,1,Fantasia 2000,305,8.2,93
12话/2018年7月12日/古川知宏/ブシロード、ネルケプラニング/齊田博之,少女☆歌剧 Revue Starlight,12,少女☆歌劇 レヴュースタァライト,304,7.9,4225
12话/2018年7月13日/山川吉樹/押切蓮介（掲載月刊「ビッグガンガン」スクウェア・エニックス刊）/桑波田満（SMDE）,高分少女,12,ハイスコアガール,303,7.9,2071
26话/2003年4月7日/千明孝一/GONZO,最终流放,26,LAST EXILE,302,7.9,1524
1话/2010年4月24日/高松信司/空知英秋/竹内进二,银魂剧场版 新译红樱篇,1,劇場版 銀魂 新訳紅桜篇,301,7.9,2594
22话/2012年10月11日/塩谷直義/浅野恭司,心理测量者,22,PSYCHO-PASS サイコパス,340,7.8,7200
14话/2003年12月21日/金田一莲十郎,热带雨林的爆笑生活FINAL,14,ジャングルはいつもハレのちグゥ FINAL,339,7.9,719
1话/2012年10月6日/宮本幸裕/MagicaQuartet/岸田隆宏、谷口淳一郎,剧场版 魔法少女小圆 剧场版 [前篇] 起始的物语,1,劇場版 魔法少女まどか☆マギカ [前編] 始まりの物語,338,7.8,2394
112话/1992年10月10日/阿部記之/冨樫義博/山沢実（1-15話）、北山真理、大西雅也（16-112話）,幽游白书,112,幽☆遊☆白書,337,7.9,1175
12话/2007年7月19日/浜崎博嗣/南條範夫「駿河城御前試合」／山口貴由（月刊『チャンピオンRED』連載中）/筱雅律,剑豪生死斗,12,シグルイ,336,7.9,580
1话/2013年9月28日/奈須きのこ,剧场版 空之境界 未来福音,1,劇場版 空の境界 未来福音,335,7.8,2790
12话/2005年7月14日/佐藤卓哉/ばらスィー,草莓棉花糖,12,苺ましまろ,334,7.8,2118
26话/2011年4月5日/佐藤雄三/福本伸行/高田晴仁,赌博默示录 破戒录篇,26,逆境無頼カイジ 破戒録篇,333,7.8,1769
12话/2002年8月25日,热带雨林的爆笑生活DELUXE,12,ジャングルはいつもハレのちグゥ デラックス,331,7.9,746
12话/2017年1月10日/たつき/けものフレンズプロジェクト/irodori,兽娘动物园,12,けものフレンズ,332,7.8,3506
12话/2017年4月6日/岸誠二/森田和明,月色真美,12,月がきれい,329,7.9,4377
1话/2016年8月19日/尾石達也/西尾維新（『傷物語』講談社BOX）/渡辺明夫、守岡英行,伤物语II 热血篇,1,傷物語II 熱血篇,330,7.9,2127
13话/2018年1月12日,妖精森林的小不点,13,ハクメイとミコチ,328,7.9,1476
6话/2008年8月1日,夏娃的时间,6,イヴの時間,327,7.9,1934
1话/2009年12月7日/李阳/李阳,李献计历险记,1,李献计历险记,326,7.9,1279
26话/2011年10月30日,星游记,26,星游记,325,7.9,806
1话/2014年4月26日/山田尚子/京都アニメーション/堀口悠紀子,玉子爱情故事,1,たまこラブストーリー,364,7.8,3660
12话/2008年8月8日,重金属摇滚双面人,12,デトロイト・メタル・シティ,363,7.9,578
26话/2015年8月30日（意大利）/横堀久雄,鲁邦三世,26,ルパン三世,362,7.9,459
113话/1978年9月14日/松本零士/荒木伸吾（初期数話のみ）、湖川滋（湖川友謙）（31話からクレジット表記が滋から「友謙」に変更）,银河铁道999,113,銀河鉄道999,361,8.1,108
12话/2017年4月1日/諫山創（別冊少年マガジン連載／講談社）,进击的巨人 第二季,12,進撃の巨人 Season 2,360,7.8,4629
1话/2008年5月24日/滝口禎一/奈須きのこ,剧场版 空之境界 第四章 伽蓝之洞,1,劇場版 空の境界 第四章 伽藍の洞,359,7.8,4750
5话/2010年7月17日/片渕須直/広江礼威（小学館刊『月刊サンデージェネックス』連載）/筱雅律,黑礁 Roberta’s Blood Trail,5,BLACK LAGOON Roberta’s Blood Trail,358,7.8,1837
26话/2004年10月6日/小林治/堀元宣、小林治,摇滚新乐团,26,BECK,357,7.9,522
12话/2007年10月9日/よしもときんじ/木尾士目,现视研2,12,げんしけん2,356,7.8,1610
12话/2019年1月12日/畠山守（小俣真一）/赤坂アカ（集英社「週刊ヤングジャンプ」連載）/八尋裕子,辉夜大小姐想让我告白～天才们的恋爱头脑战～,12,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,355,7.8,6135
13话/2003年10月8日/浅香守生/相田裕,神枪少女,13,GUNSLINGER GIRL,354,7.9,1326
26话/1995年4月7日/渡部高志/神坂一/宮田奈保美,秀逗魔导士,26,スレイヤーズ,353,7.8,1093
1话/1993年5月5日/望月智充/氷室冴子,听到涛声,1,海がきこえる,352,7.8,1224
24话/2006年4月6日/CLAMP,24,2006年4月6日,×××HOLiC,351,7.8,2336
14话/2004年3月3日/冨樫義博,猎人 OVA3,14,HUNTER×HUNTER G・I Final,350,7.9,679
1话/2004年11月20日/宮崎駿/ダイアナ・ウィン・ジョーンズ,哈尔的移动城堡,1,ハウルの動く城,349,7.8,3944
12话/2012年10月4日/新房昭之/蒼樹うめ/伊藤良明,向阳素描×蜂窝,12,ひだまりスケッチ×ハニカム,389,7.8,596
12话/2014年4月10日,希德尼娅的骑士,12,シドニアの騎士,388,7.8,2963
50话/2010年7月3日/大地丙太郎/くるねこ大和（「くるねこ」／エンターブレイン刊）,来来猫 第二季,50,くるねこ Season2,387,7.9,207
13话/2009年1月3日/松島晃,圣母在上 第4季,13,マリア様がみてる 4thシーズン,386,7.9,478
10话/1993年12月21日,怪医黑杰克 OVA,10,ブラック・ジャック OVA,385,8.0,188
13话/1999年1月12日/長岡康史/森岡浩之（ハヤカワ文庫刊）,星界的纹章,13话,星界の紋章,384,7.9,374
39话/2011年4月7日/真下耕一/山田芳裕,战国鬼才传,39,へうげもの,383,7.9,401
49话/2018年2月4日/佐藤順一、座古明史,拥抱！光之美少女,49,HUGっと! プリキュア,382,7.9,301
7话/2010年3月12日/古橋一浩/高橋久美子,机动战士高达UC,7,機動戦士ガンダムUC,381,7.8,2223
1话/2014年1月25日/錦織敦史/バンダイナムコゲームス/錦織敦史,偶像大师 剧场版 向着光辉的彼岸！,1,THE IDOLM@STER MOVIE 輝きの向こう側へ！,380,7.8,1317
24话/2006年10月5日/石原立也/Key/VisualArt's/池田和美,24,2006年10月5日,Kanon,377,7.8,3946
26话/2002年4月8日/錦織博/あずまきよひこ（メディアワークス刊『月刊電撃大王』）/加藤やすひさ,阿滋漫画大王,26,あずまんが大王 THE ANIMATION,378,7.8,1297
12话/2007年7月7日/新房昭之/久米田康治/守岡英行,再见绝望先生,12,さよなら絶望先生,376,7.8,3153
24话/2014年10月8日,寄生兽 生命的准则,24,寄生獣 セイの格率,374,7.8,5335
12话/2016年7月11日/立川譲/ONE（小学館「マンガワン」連載中）/亀田祥倫,灵能百分百,12,モブサイコ100,375,7.8,4797
14话/2010年3月17日,南方公园 第14季,14,South Park Season 14,373,8.0,164
13话/2018年10月5日/仲谷鳰（「月刊コミック電撃大王」連載）,终将成为你,13,やがて君になる,413,7.8,2661
12话/2014年7月5日/橘正紀/ヨシノサツキ/まじろ,元气囝仔,12,ばらかもん,412,7.8,2739
13话/2009年7月4日/新房昭之/久米田康治/守岡英行,忏・再见绝望先生,13,懺・さよなら絶望先生,411,7.8,1695
1话/2005年12月29日/XEBEC/平井久司,苍穹之法芙娜 RIGHT OF LEFT,1,蒼穹のファフナー RIGHT OF LEFT,410,7.8,714
4话/2012年11月7日,RWBY预告片,4,RWBY Trailers,409,7.8,802
12话/2010年1月4日/大地丙太郎/増田こうすけ（集英社『ジャンプスクエア』连载）,搞笑漫画日和＋,12,ギャグマンガ日和＋,408,7.8,1655
13话/2012年11月10日,小马驹G4 第三季,13,My Little Pony: Friendship Is Magic S3,407,7.9,183
13话/2005年10月1日/草川啓造/都築真紀／ivory/奥田泰弘,魔法少女奈叶A's,13,魔法少女リリカルなのはA's,406,7.8,1863
12话/2017年4月9日/吉原正行/森見登美彦(『有頂天家族二代目の帰朝』幻冬舎)/川面恒介,有顶天家族2,12,有頂天家族2,405,7.8,1594
1话/2019年6月15日/水島努/杉本功,少女与战车 最终章 第2话,1,ガールズ&パンツァー 最終章 第2話,404,7.8,629
20话/2005年2月21日/MichaelDanteDiMartino、BryanKonietzko,降世神通：最后的气宗 第一季,20,Avatar:The Last Airbender Season 1,403,7.8,422
13话/1998年8月25日/川越淳/永井豪,真盖塔 世界最后之日,13,真ゲッターロボ 世界最後の日,402,7.8,380
26话/2005年10月4日/佐藤雄三/福本伸行/梅原隆弘,斗牌传说,26,闘牌伝説アカギ 〜闇に舞い降りた天才〜,401,7.8,988
1话/2010年10月16日,你看起来很好吃,1,おまえうまそうだな,400,7.8,1550
"13话/1986年/胡进庆,葛桂云",13,1986年,葫芦兄弟,399,7.8,1926
1话/1989年7月15日/押井守,机动警察 东京毁灭战,1,機動警察パトレイバー the Movie,398,7.8,590
10话/2014年11月3日,花园墙外,10,Over the Garden Wall,437,8.0,128
50话/2009-07-05/大地丙太郎/くるねこ大和「くるねこ」（エンターブレイン刊),来来猫,50,くるねこ,436,7.8,246
13话/2009年7月8日/高橋丈夫/支倉凍砂/小林利充,狼与香辛料 第二季,13,狼と香辛料II,435,7.7,3773
12话/2011年1月4日/柴田由香,好想告诉你 第二季,12,君に届け 2ND SEASON,434,7.7,2719
1话/2001年2月21日,猫汤,1,ねこぢる草,433,7.7,1211
13话/2004年1月7日/今野緒雪/松島晃,圣母在上,13,マリア様がみてる,432,7.8,741
11话/2014年7月10日/塩谷直義,心理测量者 新编集版,11,PSYCHO-PASS サイコパス 新編集版,431,7.8,1432
26话/2015年4月4日,小马驹G4 第五季,26,My Little Pony: Friendship Is Magic : S5,430,7.9,146
5话/1998年12月21日/福田己津央/矢立肇/久行宏和,高智能方程式：SIN,5,新世紀GPXサイバーフォーミュラSIN,429,7.8,349
11话/2011年1月13日/あおきえい/志村貴子/牧野竜一,放浪男孩,11,放浪息子,428,7.8,1871
12话/2020年4月4日/藤原佳幸/冬目景（集英社ヤングジャンプコミックスGJ刊）/谷口淳一郎,昨日之歌,12,イエスタデイをうたって,427,7.8,565
49话/1997年2月1日/米たにヨシトモ/矢立肇/木村貴宏,勇者王GaoGaiGar,49,勇者王ガオガイガー,426,7.8,262
50话/2015年2月1日,Go! Princess 光之美少女,50,Go! プリンセスプリキュア,425,7.9,278
276话/1997-04-01/日高政光/一石小百合,精灵宝可梦,276,ポケットモンスター,424,7.8,1846
11话/2012年1月7日/新房昭之/西尾維新『偽物語』(講談社BOX)/渡辺明夫,伪物语,11,偽物語,423,7.7,6505
11话/2008年10月9日/今千秋/二ノ宮知子/島村秀一,交响情人梦 巴黎篇,11,のだめカンタービレ 巴里編,422,7.8,1192
25话/2009年10月6日/柴田由香,好想告诉你,25,君に届け,463,7.7,3561
1992年4月13日/本郷みつる（#1-#202）、原恵一（#203-#504）、ムトウユージ（#505-）/臼井儀人/小川博司,蜡笔小新,*,クレヨンしんちゃん,462,7.7,739
1话/1982/JanŠvankmajer,对话的维度,1,Moznosti dialogu,461,8.0,101
1话/1981/钱家骏、戴铁郎/胡永凯,1,、,九色鹿,460,7.7,852
14话/2008年7月3日/新房昭之/蒼樹うめ/伊藤良明,向阳素描×365,14,ひだまりスケッチ×365,459,7.7,779
1话/2013年9月28日,剧场版 空之境界 未来福音 extra chorus,1,劇場版 空の境界 未来福音 extra chorus,458,7.7,2096
38话/2014年7月5日/森脇真琴/原将治,美妙天堂,38,プリパラ,456,7.9,151
4话/2013年1月12日,宇宙战舰大和号2199 第四章「银河边境的攻防」,4,宇宙戦艦ヤマト2199 第四章「銀河辺境の攻防」,455,7.9,156
1话/2009-08-04(中国大陆)/2009-05-29(美国),飞屋环游记,1,UP,454,7.7,1910
1话/2000年3月4日/細田守/中鶴勝祥,数码暴龙大冒险 我们的战争游戏,1,デジモンアドベンチャー ぼくらのウォーゲーム!,453,7.7,876
12话/2008年10月5日/あおきえい/瀬川はじめ（月刊「少年エース」連載、角川コミックス・エース刊）/堀内修,食灵-零-,12,喰霊-零-,452,7.7,3530
1话/1989年7月29日/宮崎駿/角野栄子『魔女の宅急便』(福音館書店刊)/近藤勝也,魔女宅急便,1,魔女の宅急便,450,7.7,2565
12话/2010年1月25日/元永慶太郎/西尾維新/川田剛,刀语,12,刀語,451,7.7,2989
13话/1990年6月30日/永丘昭典、牧野滋人、山田勝久、竜大司、水野カズノリ（水野和則）、さかいあきお、川崎博嗣/安田均、水野良,罗德斯岛战记,13,ロードス島戦記,449,7.8,561
14话/2009年3月11日,南方公园 第13季,14,South Park Season 13,448,7.9,157
12话/2010年10月7日/石黒正数（少年画報社、月刊『ヤングキングアワーズ』連載）/山村洋貴,女仆咖啡厅,12,それでも町は廻っている,447,7.7,2289
1话/1988年10月8日/望月智充/まつもと泉,橙路 再回到往日,1,きまぐれオレンジ☆ロード あの日にかえりたい,487,8.0,86
1话/1979年8月4日,银河铁道999 剧场版,1,銀河鉄道999 映画版,486,8.0,86
15话/2007年5月7日,NHK15个动画短片,15,アニ＊クリ15,485,7.7,1329
40话/1979年10月10日,凡尔赛玫瑰,40,ベルサイユのばら,484,7.9,130
2话/2009年11月17日/新房昭之/久米田康治/守岡英行,忏・再见绝望先生 番外地,2,懺・さよなら絶望先生 番外地,483,7.7,666
18话/2019年3月15日/TimMiller,爱、死亡 & 机器人,18,"Love, Death & Robots",482,7.7,1669
155话/1977年10月3日,鲁邦三世 第二期,155,ルパン三世 2nd シリーズ,481,8.1,56
24话/2005年4月12日/山田風太郎,甲贺忍法帖,24,バジリスク ～甲賀忍法帖～,480,7.7,1307
1话/2011年8月13日,幻想万华镜 春雪异变之章,1,幻想万華鏡 春雪異変の章 ～『東方妖々夢』より～,479,7.7,1723
2话/2009年1月23日/佐藤卓哉/ばらスィー,草莓棉花糖 OVA 第2期,2,苺ましまろ encore,478,7.7,939
1话/1988年4月16日/野坂昭如,萤火虫之墓,1,火垂るの墓,477,7.7,2219
12话/2020年4月2日/村野佑太/久米田康治（講談社「月刊少年マガジン」連載）/山本周平,隐瞒之事,12,かくしごと,476,7.7,585
26话/1997年4月4日/渡部高志/神坂一/宮田奈保美,秀逗魔导士TRY,26,スレイヤーズTRY,475,7.7,573
95话/1996年1月10日/古橋一浩/和月伸宏/濱洲英喜→室井ふみえ,浪客剑心,95,るろうに剣心 -明治剣客浪漫譚-,474,7.7,1313
50话/2001年2月4日/東堂いづみ（擬人名称）,大~集合！小魔女DoReMi,50,も〜っと!おジャ魔女どれみ,473,7.9,132
98话/1984年9月17日,变形金刚,98,The Transformers,472,7.9,159
24话/2016年7月10日/桜井弘明/麻生周一「斉木楠雄のΨ難」（集英社ジャンプコミックス刊）/音地正行,齐木楠雄的灾难,24,斉木楠雄のΨ難,511,7.7,4620
193话/1963年1月1日,铁臂阿童木,193,鉄腕アトム,509,7.7,622
1996年1月8日/こだま兼嗣（#1-#118）→山本泰一郎（#119-#332）→佐藤真人（#162、#219、#333-#504）→於地紘仁（#505-#666）→山本泰一郎（#667-#677）→於地紘仁（#678-#679）→山本泰一郎（#680-）/青山剛昌/須藤昌朋(#1-#355)→とみながまり(#219、#263、#356-#504)→須藤昌朋、山中純子(#505-#576)→須藤昌朋(#577-#626)→須藤昌朋、牟田清司(#627-#680)→須藤昌朋(#681-#803)→須藤昌朋、岩井伸之(#804-#870)→須藤昌朋(#871-),名侦探柯南,1996年1月8日,名探偵コナン,510,7.7,4195
18话/1983年9月/查尔斯•舒尔茨,查理布朗和史努比,18,The Charlie Brown and Snoopy Show,508,7.8,235
12话/2012年7月2日/太田雅彦/なもり（一迅社「コミック百合姫」連載）/中島千明,摇曳百合♪♪,12,ゆるゆり♪♪,507,7.7,3612
26话/2005年7月3日/新房昭之/氷川へきる/大田和寛,不可思议的教室,26,ぱにぽにだっしゅ!,506,7.7,747
127话/2008年10月5日/秋山勝仁/レベルファイブ/池田裕治、井ノ上ユウ子,闪电十一人,127,イナズマイレブン,505,7.7,322
